OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations,year,month,day,individualCount,species,verbatimScientificName,collectionCode
225,707,Wildhorse,2005,63771.3,31,2014,4,5,1,Buteo swainsoni,Buteo swainsoni,EBIRD
226,891,SAN LUIS,2005,332.2597,2,2015,4,9,2,Buteo swainsoni,Buteo swainsoni,EBIRD
227,1102,ROMERO,2008,766.0438,5,2015,4,9,2,Buteo swainsoni,Buteo swainsoni,EBIRD
228,457,Powerhouse,2013,30267.57,6,2012,4,16,280,Agelaius tricolor,Agelaius tricolor,EBIRD
229,667,Powerhouse,2013,30267.69,6,2012,4,16,280,Agelaius tricolor,Agelaius tricolor,EBIRD
230,299,PARADISE,2005,3081.726,23,2012,4,15,2,Buteo swainsoni,Buteo swainsoni,EBIRD
231,1313,Dome,2020,44211.08459,125,2017,4,1,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
232,1313,Dome,2020,44211.08459,125,2017,3,17,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
233,319,TECOPA,2010,105.7345,17,2005,6,2,NA,Empidonax traillii,Empidonax traillii,EBIRD
234,427,Tecopa,2010,105.7341,17,2005,6,2,NA,Empidonax traillii,Empidonax traillii,EBIRD
235,324,NARROWS,2010,49.86191,3,2018,5,14,1,Empidonax traillii,Empidonax traillii,EBIRD
236,1285,School,2014,223.7788,4,2012,2,3,4,Gymnogyps californianus,Gymnogyps californianus,EBIRD
237,1310,School,2014,223.9,4,2012,2,3,4,Gymnogyps californianus,Gymnogyps californianus,EBIRD
238,1313,Dome,2020,44211.08459,125,2010,5,22,1,Buteo swainsoni,Buteo swainsoni,EBIRD
239,1313,Dome,2020,44211.08459,125,2017,3,18,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
240,1075,NEW IDRIA,2003,632.0136,2,2016,3,12,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
241,299,PARADISE,2005,3081.726,23,2013,5,26,1,Empidonax traillii,Empidonax traillii,EBIRD
242,319,TECOPA,2010,105.7345,17,2017,5,27,1,Empidonax traillii,Empidonax traillii,EBIRD
243,427,Tecopa,2010,105.7341,17,2017,5,27,1,Empidonax traillii,Empidonax traillii,EBIRD
244,1316,Del Puerto,2020,390647.2556,15,2018,4,8,50,Agelaius tricolor,Agelaius tricolor,EBIRD
